"laureate_known_name","laureate_gender","laureate_birth_date","laureate_birth_city","laureate_birth_country","laureate_current_city","laureate_current_country","laureate_continent","laureate_id","laureate_id (Right)","award_year","award_category_name","award_category_full_name","award_sort_order","award_portion","award_date","award_prize_status","award_motivation","award_prize_amount","affiliation_institute_name_then","affiliation_institute_name_now","affiliation_city_then","affiliation_country_then","affiliation_city_now","affiliation_country_now","affiliation_continent"
"Tomas Lindahl","male","1938-01-28","Stockholm","Sweden","Stockholm","Sweden","Europe","921","921","2015","Chemistry","The Nobel Prize in Chemistry","1","1/3","2015-10-07","received","for mechanistic studies of DNA repair",8000000,"Francis Crick Institute","Francis Crick Institute","Hertfordshire","United Kingdom","Hertfordshire","United Kingdom","Europe"
"Tomas Lindahl","male","1938-01-28","Stockholm","Sweden","Stockholm","Sweden","Europe","921","921","2015","Chemistry","The Nobel Prize in Chemistry","1","1/3","2015-10-07","received","for mechanistic studies of DNA repair",8000000,"Clare Hall Laboratory","Clare Hall Laboratory","Hertfordshire","United Kingdom","Hertfordshire","United Kingdom","Europe"
"Tomas Tranströmer","male","1931-04-15","Stockholm","Sweden","Stockholm","Sweden","Europe","868","868","2011","Literature","The Nobel Prize in Literature","1","1","2011-10-06","received","because, through his condensed, translucent images, he gives us fresh access to reality",10000000,,,,,,,
"Toni Morrison","female","1931-02-18","Lorain, OH","USA","Lorain, OH","USA","North America","670","670","1993","Literature","The Nobel Prize in Literature","1","1","1993-10-07","received","who in novels characterized by visionary force and poetic import, gives life to an essential aspect of American reality",6700000,,,,,,,
"Torsten N. Wiesel","male","1924-06-03","Uppsala","Sweden","Uppsala","Sweden","Europe","424","424","1981","Physiology or Medicine","The Nobel Prize in Physiology or Medicine","3","1/4","1981-10-09","received","for their discoveries concerning information processing in the visual system",1000000,"Harvard Medical School","Harvard Medical School","Boston, MA","USA","Boston, MA","USA","North America"
"Toshihide Maskawa","male","1940-02-07","Nagoya","Japan","Nagoya","Japan","Asia","828","828","2008","Physics","The Nobel Prize in Physics","3","1/4","2008-10-07","received","for the discovery of the origin of the broken symmetry which predicts the existence of at least three families of quarks in nature",10000000,"Kyoto Sangyo University","Kyoto Sangyo University","Kyoto","Japan","Kyoto","Japan","Asia"
"Toshihide Maskawa","male","1940-02-07","Nagoya","Japan","Nagoya","Japan","Asia","828","828","2008","Physics","The Nobel Prize in Physics","3","1/4","2008-10-07","received","for the discovery of the origin of the broken symmetry which predicts the existence of at least three families of quarks in nature",10000000,"Yukawa Institute for Theoretical Physics (YITP), Kyoto University","Yukawa Institute for Theoretical Physics (YITP), Kyoto University","Kyoto","Japan","Kyoto","Japan","Asia"
"Trygve Haavelmo","male","1911-12-13","Skedsmo","Norway","Skedsmo","Norway","Europe","703","703","1989","Economic Sciences","The Sveriges Riksbank Prize in Economic Sciences in Memory of Alfred Nobel","1","1","1989-10-11","received","for his clarification of the probability theory foundations of econometrics and his analyses of simultaneous economic structures",3000000,"University of Oslo","University of Oslo","Oslo","Norway","Oslo","Norway","Europe"
"Tsung-Dao Lee","male","1926-11-24","Shanghai","China","Shanghai","China","Asia","69","69","1957","Physics","The Nobel Prize in Physics","2","1/2","1957-10-31","received","for their penetrating investigation of the so-called parity laws which has led to important discoveries regarding the elementary particles",208629,"Columbia University","Columbia University","New York, NY","USA","New York, NY","USA","North America"
"Tu Youyou","female","1930-12-30","Zhejiang Ningbo","China","Zhejiang Ningbo","China","Asia","918","918","2015","Physiology or Medicine","The Nobel Prize in Physiology or Medicine","3","1/2","2015-10-05","received","for her discoveries concerning a novel therapy against Malaria",8000000,"China Academy of Traditional Chinese Medicine","China Academy of Traditional Chinese Medicine","Beijing","China","Beijing","China","Asia"
